,Artist,Born,Born In,Years Active,Founded In,Died
0,Sean Paul,9 January 1973 (age 48),"Kingston, Jamaica",,,
0,London Grammar,,,2009 – present (12 years),"Nottingham, England, United Kingdom",
0,Kacy Hill,1 May 1994 (age 27),"Phoenix, Maricopa County, Arizona, United States",,,
0,Charly Bliss,,,2012 – present (9 years),"New York, New York, United States",
0,Shlohmo,,"Los Angeles, Los Angeles County, California, United States",,,
0,Beat Happening,,,1982 – present (39 years),"Olympia, Thurston County, Washington, United States",
0,Gang of Four,,,1977 – present (44 years),"Leeds, Leeds, West Yorkshire, England, United Kingdom",
0,Echo & the Bunnymen,,,1978 – present (43 years),"Liverpool, Merseyside, England, United Kingdom",
0,Martin Harley,1975 (age 46),,,,
0,Big Scary,,,2006 – present (15 years),"Melbourne, Victoria, Australia",
0,Wye Oak,,,2006 – present (15 years),"Baltimore, Maryland, United States",
0,Wilsen,,,2012 – present (9 years),,
0,Ásgeir,1 July 1992 (age 29),"Reykjavík, Höfuðborgarsvæðið, Iceland",,,
0,Fugees,,,1992 – 2006 (14 years),"South Orange, Essex County, New Jersey, United States",
0,Xiu Xiu,,,2000 – present (21 years),"San Jose, Santa Clara County, California, United States",
0,Michael Nau,31 October 1984 (age 36),"Maryland, United States",,,
0,Jason Isbell,1 February 1979 (age 42),"Green Hill, Lauderdale County, Alabama, United States",,,
0,Elder,,,2005 – present (16 years),"Boston, Suffolk County, Massachusetts, United States",
0,Richard Dawson,23 May 1981 (age 40),"Newcastle upon Tyne, Tyne and Wear, England, United Kingdom",,,
0,Mos Def,11 December 1973 (age 47),"Brooklyn, New York, New York, United States",,,
0,Ghostface Killah,28 January 1970 (age 51),"Staten Island, New York, New York, United States",,,
0,Mom Jeans.,,,2014 – present (7 years),"Berkeley, Alameda County, California, United States",
0,The Technicolors,,,,"Phoenix, Maricopa County, Arizona, United States",
0,Twin Shadow,1983 (age 38),,,,
0,The Magnetic Fields,,,1990 – present (31 years),"Boston, Suffolk County, Massachusetts, United States",
0,Big Star,,,1971 – 2010 (39 years),"Memphis, Shelby County, Tennessee, United States",
0,Jonathan Richman,16 May 1951 (age 70),"Natick, Middlesex County, Massachusetts, United States",,,
0,Steve Reich,3 October 1936 (age 84),"New York, New York, United States",,,
0,Paul Wall,11 March 1980 (age 41),"Houston, Harris County, Texas, United States",,,
0,Haken,,,2007 – present (14 years),"London, England, United Kingdom",
0,Balanescu Quartet,,,1987 – present (34 years),,
0,Ride,,,1988 – present (33 years),"Oxford, Oxfordshire, England, United Kingdom",
0,Holy Fuck,,,2004 – present (17 years),"Toronto, Ontario, Canada",
0,Björk,21 November 1965 (age 55),"Reykjavík, Höfuðborgarsvæðið, Iceland",,,
0,The Sugarcubes,,,1986 – 1992 (6 years),"Reykjavík, Höfuðborgarsvæðið, Iceland",
0,Moby,11 September 1965 (age 56),"Harlem, Manhattan, New York, New York, United States",,,
0,Jarryd James,December 1984 (age 36),"Brisbane, Queensland, Australia",,,
0,The Rankin Family,,,1989 – present (32 years),"Mabou, Inverness County, Nova Scotia, Canada",
0,Father,,"Mississippi, United States",,,
0,Slint,,,1987 – 1992 (5 years),"Louisville, Jefferson County, Kentucky, United States",
0,Edward Sharpe & The Magnetic Zeros,,,2005 – present (16 years),"Los Angeles, Los Angeles County, California, United States",
0,Lil Keed,16 March 1998 (age 23),"Atlanta, Fulton County, Georgia, United States",,,
0,Jack White,9 July 1975 (age 46),"Detroit, Wayne County, Michigan, United States",,,
0,J.I.D,31 October 1990 (age 30),"Atlanta, Fulton County, Georgia, United States",,,
0,April March,20 April 1965 (age 56),,,,
0,Radiation City,,,2010 – 2016 (6 years),"Portland, Multnomah County, Oregon, United States",
0,Shovels & Rope,,,2008 – present (13 years),"Charleston, Charleston County, South Carolina, United States",
0,Open Mike Eagle,14 November 1980 (age 40),"Chicago, Cook County, Illinois, United States",,,
0,Famous Dex,6 September 1993 (age 28),"Chicago, Cook County, Illinois, United States",,,
0,The Midnight,,,2012 – present (9 years),"Los Angeles, Los Angeles County, California, United States",
0,Yann Tiersen,23 June 1970 (age 51),"Brest, Finistère, Bretagne, France",,,
0,Jonny Greenwood,5 November 1971 (age 49),"Oxford, Oxfordshire, England, United Kingdom",,,
0,Juleah,,,,"Vorarlberg, Austria",
0,Alessia Cara,11 July 1996 (age 25),"Mississauga, Regional Municipality of Peel, Ontario, Canada",,,
0,Camila Cabello,3 March 1997 (age 24),"Cojímar, Habana del Este, La Habana, Cuba",,,
0,Ka,March 1972 (age 49),"Brownsville, Brooklyn, New York, New York, United States",,,
0,Stanley Turrentine,5 April 1934,"Pittsburgh, Allegheny County, Pennsylvania, United States",,,12 September 2000 (aged 66)
0,YUNG BAE,1994 (age 27),,,,
0,Morrissey,22 May 1959 (age 62),"Davyhulme, Trafford, Greater Manchester, England, United Kingdom",,,
0,The Pale White,,,,"Newcastle upon Tyne, Tyne and Wear, England, United Kingdom",
0,Royal Blood,,,2013 – present (8 years),"Worthing, West Sussex, England, United Kingdom",
0,Freddie Mercury,5 September 1946,"Stone Town, Zanzibar City, Mjini Magharibi, Tanzania, United Republic of",,,24 November 1991 (aged 45)
0,Appleby,1991 (age 30),,,,
0,Ryan Hemsworth,,"Halifax, Nova Scotia, Canada",,,
0,Skizzy Mars,8 June 1993 (age 28),,,,
0,Shivaree,,,1997 – 2007 (10 years),,
0,Soundgarden,,,1984 – 2017 (33 years),"Seattle, King County, Washington, United States",
0,6ix9ine,8 May 1996 (age 25),"Bushwick, Brooklyn, New York, New York, United States",,,
0,Sudakistan,,,2011 – present (10 years),,
0,Darker My Love,,,2004 – 2010 (6 years),"Los Angeles, Los Angeles County, California, United States",
0,The Black Angels,,,2004 – present (17 years),"Austin, Travis County, Texas, United States",
0,Moon Duo,,,2009 – present (12 years),"San Francisco, California, United States",
0,Paul Rosenberg,1 August 1971 (age 50),,,,
0,Tom Tom Club,,,1981 – present (40 years),"Nassau, Bahamas",
0,Alan Walker,24 August 1997 (age 24),"Northampton, Northamptonshire, England, United Kingdom",,,
0,Van Halen,,,1972 – 2019 (47 years),"Pasadena, Los Angeles County, California, United States",
0,Stand High Patrol,,,2000 – present (21 years),,
0,Joe Satriani,15 July 1956 (age 65),"Westbury, North Hempstead, Nassau County, New York, United States",,,
0,Midnight Oil,,,1976 – present (45 years),"Sydney, New South Wales, Australia",
0,Manfred Mann's Earth Band,,,1971 – present (50 years),,
0,Skee Mask,1993 (age 28),,,,
0,Roo Panes,8 June 1988 (age 33),"Wimborne Minster, Dorset, England, United Kingdom",,,
0,Netsky,22 March 1989 (age 32),"Edegem, Antwerpen, Flanders, Belgium",,,
0,CRUISR,,,2014 – present (7 years),"Philadelphia, Philadelphia County, Pennsylvania, United States",
0,Michael Andrews,17 November 1967 (age 53),"San Diego, San Diego County, California, United States",,,
0,The Avener & Kadebostany,23 January 1987 (age 34),"Nice, Alpes-Maritimes, Provence-Alpes-Côte-d'Azur, France",,,
0,The Avener,23 January 1987 (age 34),"Nice, Alpes-Maritimes, Provence-Alpes-Côte-d'Azur, France",,,
0,John Lee Hooker,22 August 1917,"Coahoma County, Mississippi, United States",,,21 June 2001 (aged 83)
0,Slum Sociable,,,,"Mordialloc, City of Kingston, Victoria, Australia",
0,Peppino Gagliardi,25 May 1940 (age 81),"Napoli, Napoli, Campania, Italy",,,
0,Nujabes,19 February 1974,"Minato, Tokyo, Japan",,,26 February 2010 (aged 36)
0,To Kill a King,,,2009 – present (12 years),,
0,Roberto Musci,27 March 1956 (age 65),"Milan, Milano, Lombardia, Italy",,,
0,Quality Control,,,2017 – present (3 years),"Atlanta, Fulton County, Georgia, United States",
0,The Bluetones,,,1993 – 2011 (18 years),"Hounslow, Hounslow, London, England, United Kingdom",
0,Muriel Anderson,1960 (age 61),"DuPage County, Illinois, United States",,,
0,Caetano Veloso,7 August 1942 (age 79),"Santo Amaro, Bahia, Brazil",,,
0,João Gilberto,10 June 1931,"Juazeiro, Bahia, Brazil",,,6 July 2019 (aged 88)
0,Bebel Gilberto,12 May 1966 (age 55),"Manhattan, New York, New York, United States",,,
0,Rosemary Clooney,23 May 1928,"Maysville, Mason County, Kentucky, United States",,,29 June 2002 (aged 74)
0,Gordon Jenkins,12 May 1910,"Webster Groves, St. Louis County, Missouri, United States",,,1 May 1984 (aged 73)
0,Doris Day,3 April 1922,"Cincinnati, Hamilton County, Ohio, United States",,,13 May 2019 (aged 97)
0,Paco de Lucía,21 December 1947,"Algeciras, Cádiz, Andalucía, Spain",,,25 February 2014 (aged 66)
0,Stephane Wrembel,27 February 1974 (age 47),"Paris, Île-de-France, France",,,
0,Cole Porter,9 June 1891,"Peru, Miami County, Indiana, United States",,,15 October 1964 (aged 73)
0,Ricardo Arjona,19 January 1964 (age 57),"Sacatepéquez, Guatemala",,,
0,Aleks Syntek,29 September 1969 (age 51),"Mérida, Yucatán, Mexico",,,
0,Joséphine Baker,3 June 1906,"St. Louis, Missouri, United States",,,12 April 1975 (aged 68)
0,Kurt Cobain,20 February 1967,"Aberdeen, Grays Harbor County, Washington, United States",,,5 April 1994 (aged 27)
0,Iyeoka,28 April 1975 (age 46),"Boston, Suffolk County, Massachusetts, United States",,,
0,Keith Jarrett,8 May 1945 (age 76),"Allentown, Lehigh County, Pennsylvania, United States",,,
0,Paul Desmond,25 November 1924,"San Francisco, California, United States",,,30 May 1977 (aged 52)
0,Ahmad Jamal,2 July 1930 (age 91),"Pittsburgh, Allegheny County, Pennsylvania, United States",,,
0,Christian Scott aTunde Adjuah,31 March 1983 (age 38),"New Orleans, Louisiana, United States",,,
0,McCoy Tyner,11 December 1938,"Philadelphia, Philadelphia County, Pennsylvania, United States",,,6 March 2020 (aged 81)
0,Charles Mingus,22 April 1922,"Nogales, Santa Cruz County, Arizona, United States",,,5 January 1979 (aged 56)
0,Jacques Brel,8 April 1929,"Schaerbeek / Schaarbeek, Brussels, Belgium",,,9 October 1978 (aged 49)
0,Monty Python,,,1969 – 2014 (45 years),,
0,Dave Brubeck,6 December 1920,"Concord, Contra Costa County, California, United States",,,5 December 2012 (aged 91)
0,Boney M.,,,1975 – present (46 years),,
0,The Pussycat Dolls,,,2003 – present (18 years),"Los Angeles, Los Angeles County, California, United States",
0,Jully Black,8 November 1977 (age 43),"Toronto, Ontario, Canada",,,
0,Stray Cats,,,1979 – present (42 years),"Massapequa, Oyster Bay, Nassau County, New York, United States",
0,Lenny Kravitz,26 May 1964 (age 57),"Manhattan, New York, New York, United States",,,
0,Audioslave,,,2001 – 2007 (6 years),"Los Angeles, Los Angeles County, California, United States",
0,The Marketts,,,1961 – 1975 (14 years),"Los Angeles, Los Angeles County, California, United States",
0,Joe Tex,8 August 1935,"Rogers, Bell County, Texas, United States",,,13 August 1982 (aged 47)
0,The Robins,,,1945 – 1961 (16 years),"San Francisco, California, United States",
0,P.P. Arnold,3 October 1946 (age 74),"Los Angeles, Los Angeles County, California, United States",,,
0,Black Lips,,,1999 – present (22 years),"Atlanta, Fulton County, Georgia, United States",
0,Plumtree,,,1993 – 2000 (7 years),"Halifax, Nova Scotia, Canada",
0,Kenny Dixon Jr.,,"Los Angeles, Los Angeles County, California, United States",,,
0,Jesse Harris,24 October 1969 (age 51),"New York, New York, United States",,,
0,Bedouin Soundclash,,,2001 – present (20 years),"Toronto, Ontario, Canada",
0,Allan Kingdom,6 January 1994 (age 27),"Winnipeg, Winnipeg Capital Region, Manitoba, Canada",,,
0,The Willowz,,,2002 – present (19 years),"Anaheim, Orange County, California, United States",
0,Tegan and Sara,,,1998 – present (23 years),"Calgary, Alberta, Canada",
0,Snakehips,,,2010 – present (10 years),,
0,Desiigner,3 May 1997 (age 24),"Brooklyn, New York, New York, United States",,,
0,Old Man Canyon,,,2012 – present (9 years),"Vancouver, Metro Vancouver, British Columbia, Canada",
0,Loudon Wainwright III,5 September 1946 (age 75),"Chapel Hill, Orange County, North Carolina, United States",,,
0,Kamaiyah,13 March 1992 (age 29),"Oakland, Alameda County, California, United States",,,
0,Christina Aguilera,18 December 1980 (age 40),"Staten Island, New York, New York, United States",,,
0,Lucy Rose,20 June 1989 (age 32),"Camberley, Surrey, England, United Kingdom",,,
0,Glenn Miller,1 March 1904,"Clarinda, Page County, Iowa, United States",,,15 December 1944 (aged 40)
0,ODESZA,,,2012 – present (9 years),"Seattle, King County, Washington, United States",
0,Papooz,,,2012 – present (9 years),,
0,Tim Dup,7 December 1994 (age 26),"Rambouillet, Yvelines, Île-de-France, France",,,
0,Stromae,12 March 1985 (age 36),"Brussels, Belgium",,,
0,Clea Vincent,1985 (age 36),"Paris, Île-de-France, France",,,
0,Serge Reggiani,2 May 1922,"Reggio Emilia, Reggio Emilia, Emilia-Romagna, Italy",,,23 July 2004 (aged 82)
0,Lucienne Boyer,18 August 1901,"Paris, Île-de-France, France",,,6 December 1983 (aged 82)
0,Luscious Jackson,,,1991 – 2000 (9 years),"Manhattan, New York, New York, United States",
0,Veruca Salt,,,1993 – present (28 years),"Chicago, Cook County, Illinois, United States",
0,Nick Cave,22 September 1957 (age 63),"Warracknabeal, Victoria, Australia",,,
0,James Blunt,22 February 1974 (age 47),"Tidworth, Wiltshire, England, United Kingdom",,,
0,Robin Schulz,28 April 1987 (age 34),"Osnabrück, Niedersachsen, Germany",,,
0,The Sauter-Finegan Orchestra,,,1952 – 1957 (5 years),,
0,David Mansfield,13 September 1956 (age 65),"Leonia, Bergen County, New Jersey, United States",,,
0,Tampa Red,8 January 1904,"Smithville, Lee County, Georgia, United States",,,19 March 1981 (aged 77)
0,Bo Carter,30 June 1892,"Bolton, Hinds County, Mississippi, United States",,,21 September 1964 (aged 72)
0,Sonny Boy Williamson II,5 December 1912,"Tallahatchie County, Mississippi, United States",,,25 May 1965 (aged 52)
0,Robert Wilkins,16 January 1896,"Hernando, DeSoto County, Mississippi, United States",,,26 May 1987 (aged 91)
0,Charley Patton,1 May 1891,"Edwards, Hinds County, Mississippi, United States",,,28 April 1934 (aged 42)
0,Giorgio Moroder,26 April 1940 (age 81),"Urtijëi, Bolzano, Trentino-Alto Adige, Italy",,,
0,Sam Airey,,"Isle of Anglesey, Wales, United Kingdom",,,
0,Oh Land,2 May 1985 (age 36),"Copenhagen, Capital Region of Denmark, Denmark",,,
0,Z Berg,28 June 1986 (age 35),"Los Angeles, Los Angeles County, California, United States",,,
0,K.S. Rhoads,7 August 1976 (age 45),"Tucson, Pima County, Arizona, United States",,,
0,Goldmund,9 October 1981 (age 39),"Pennsylvania, United States",,,
0,Steve Winwood,12 May 1948 (age 73),"Handsworth, Birmingham, West Midlands, England, United Kingdom",,,
0,Phil Collins,30 January 1951 (age 70),"Hounslow, Hounslow, London, England, United Kingdom",,,
0,Death from Above 1979,,,2001 – present (20 years),"Toronto, Ontario, Canada",
0,Nine Inch Nails,,,1988 – present (33 years),"Cleveland, Cuyahoga County, Ohio, United States",
0,Yeah Yeah Yeahs,,,2000 – present (21 years),"New York, New York, United States",
0,Drake Bell,27 June 1986 (age 35),"Newport Beach, Orange County, California, United States",,,
0,Syd Barrett,6 January 1946,"Cambridge, Cambridgeshire, England, United Kingdom",,,7 July 2006 (aged 60)
0,Nick Cave & The Bad Seeds,,,1983 – present (38 years),"Melbourne, Victoria, Australia",
0,SayWeCanFly,2009 (age 12),,,,
0,5 Seconds of Summer,,,2011 – present (10 years),"Sydney, New South Wales, Australia",
0,Jedi Mind Tricks,,,1993 – present (28 years),"Philadelphia, Philadelphia County, Pennsylvania, United States",
0,Celph Titled,,"Tampa, Hillsborough County, Florida, United States",,,
0,Liza Anne,3 February 1994 (age 27),,,,
0,Haerts,,,2010 – present (11 years),"Munich, Bayern, Germany",
0,Parade of Lights,,,2010 – present (11 years),"Los Angeles, Los Angeles County, California, United States",
0,YUNGBLUD,5 August 1997 (age 24),"Doncaster, Doncaster, South Yorkshire, England, United Kingdom",,,
0,OneRepublic,,,2004 – present (17 years),"Colorado, United States",
0,Kungs,17 December 1996 (age 24),,,,
0,Antony and the Johnsons,,,1995 – present (26 years),"New York, New York, United States",
0,Living Colour,,,1983 – present (38 years),"New York, New York, United States",
0,Protoje,14 June 1981 (age 40),"Saint Elizabeth, Jamaica",,,
0,Umphrey's McGee,,,1997 – present (24 years),"South Bend, St. Joseph County, Indiana, United States",
0,Neil Diamond,24 January 1941 (age 80),"Brooklyn, New York, New York, United States",,,
0,Jill Scott,4 April 1972 (age 49),"Philadelphia, Philadelphia County, Pennsylvania, United States",,,
0,Thomas Dolby,14 October 1958 (age 62),"London, England, United Kingdom",,,
